score_id,benchmark_type,submitted_date,cpu,gpu,score,fps,resolution,duration_ms,os,driver,url
2559563,FurMark (GL),,Intel(R) Core(TM) i7-4770 CPU @ 3.40GHz,Radeon RX 580 Series,4100,68,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2559563
2559534,FurMark (GL),,AMD Ryzen 3 3100 4-Core Processor,Radeon RX 580 Series,3095,51,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2559534
2559447,FurMark (GL),,AMD Ryzen 7 5700G with Radeon Graphics,Radeon RX 580 Series,3773,62,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2559447
2559347,FurMark (GL),,AMD Ryzen 5 PRO 4650G with Radeon Graphics,AMD Radeon RX 580 2048SP,3068,51,1920x1080,60000,Windows 11 build 22631,,https://gpumagick.com/scores/2559347
2559296,FurMark (GL),,Intel(R) Xeon(R) CPU E5-2690 v4 @ 2.60GHz,Radeon RX 580 Series,3557,59,1920x1080,60000,Windows 11 build 22000,,https://gpumagick.com/scores/2559296
2559279,FurMark (GL),,AMD Ryzen 5 5600G with Radeon Graphics,Radeon RX 580 Series,3863,64,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2559279
2559255,FurMark (GL),,Intel(R) Xeon(R) CPU E5-2690 v4 @ 2.60GHz,Radeon RX 580 Series,3552,59,1920x1080,60000,Windows 11 build 22000,,https://gpumagick.com/scores/2559255
2559252,FurMark (GL),,AMD Ryzen 5 3600 6-Core Processor,Radeon RX 580 Series,4131,68,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2559252
2559175,FurMark (GL),,AMD Ryzen 7 5700X 8-Core Processor,Radeon RX 580 Series,2211,36,3440x1440,60000,Windows 11 build 22631,,https://gpumagick.com/scores/2559175
2559147,FurMark (GL),,Intel(R) Xeon(R) CPU           X3470  @ 2.93GHz,Radeon RX 580 Series,4099,65,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2559147
2559080,FurMark (GL),,AMD Ryzen 5 3600 6-Core Processor,Radeon RX 580 Series,3864,64,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2559080
2559056,FurMark (GL),,AMD Ryzen 5 5600G with Radeon Graphics,Radeon RX 580 Series,3954,65,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2559056
2558973,FurMark (GL),,AMD Ryzen 5 3600 6-Core Processor,Radeon RX 580 Series,3747,62,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2558973
2558976,FurMark (GL),,AMD Ryzen 3 3100 4-Core Processor,Radeon RX 580 Series,3881,63,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2558976
2558965,FurMark (GL),,Intel(R) Core(TM) i5-6600 CPU @ 3.30GHz,Radeon RX 580 Series,3936,63,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2558965
2558949,FurMark (GL),,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,Radeon RX 580 Series,3707,61,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2558949
2558894,FurMark (GL),,Intel(R) Xeon(R) CPU E5-2650 v4 @ 2.20GHz,AMD Radeon RX 580 2048SP,3409,56,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2558894
2558787,FurMark (GL),,AMD Ryzen 5 5600X 6-Core Processor,Radeon RX 580 Series,3765,62,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2558787
2558777,FurMark (GL),,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,AMD Radeon RX 580 2048SP,3243,54,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2558777
2558772,FurMark (GL),,AMD Ryzen 5 5600X 6-Core Processor,Radeon RX 580 Series,2970,50,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2558772
2558771,FurMark (GL),,AMD Ryzen 5 3600 6-Core Processor,AMD Radeon RX 580 2048SP,2598,43,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2558771
2558770,FurMark (GL),,AMD Ryzen 5 5600X 6-Core Processor,Radeon RX 580 Series,3743,62,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2558770
2558756,FurMark (GL),,Intel(R) Core(TM) i5-3340 CPU @ 3.10GHz,Radeon RX 580 Series,3849,64,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2558756
2558682,FurMark (GL),,Intel(R) Xeon(R) CPU E5-2673 v3 @ 2.40GHz,Radeon RX 580 Series,463,9,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2558682
2558668,FurMark (GL),,Intel(R) Xeon(R) CPU E5-2673 v4 @ 2.30GHz,Radeon RX 580 Series,3178,52,1920x1080,60000,Windows 11 build 26100,,https://gpumagick.com/scores/2558668
2558659,FurMark (GL),,Intel(R) Core(TM) i7-3770 CPU @ 3.40GHz,Radeon RX 580 Series,3597,59,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2558659
2558652,FurMark (GL),,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,AMD Radeon RX 580 2048SP,1738,28,2560x1440,60000,Windows 11 build 26100,,https://gpumagick.com/scores/2558652
2558628,FurMark (GL),,Intel(R) Core(TM) i5-2400 CPU @ 3.10GHz,AMD Radeon RX 580 2048SP,3328,55,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2558628
2558634,FurMark (GL),,Intel(R) Core(TM) i5-14600K,AMD Radeon RX 580 2048SP,3327,55,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2558634
2558525,FurMark (GL),,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,Radeon RX 580 Series,4055,67,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2558525
2558509,FurMark (GL),,AMD Ryzen 7 5700X 8-Core Processor,Radeon RX 580 Series,3718,61,1920x1080,60000,Windows 11 build 26100,,https://gpumagick.com/scores/2558509
2558395,FurMark (GL),,Intel(R) Xeon(R) CPU E5-2670 v2 @ 2.50GHz,Radeon RX 580 Series,3497,58,1920x1080,60000,Windows 11 build 26100,,https://gpumagick.com/scores/2558395
2558377,FurMark (GL),,Intel(R) Xeon(R) CPU           X5670  @ 2.93GHz,Radeon RX 580 Series,1263,20,3840x2160,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2558377
2558248,FurMark (GL),,AMD Ryzen 5 2600 Six-Core Processor,Radeon RX 580 Series,4082,67,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2558248
2558188,FurMark (GL),,12th Gen Intel(R) Core(TM) i5-12400,Radeon RX 580 Series,3760,62,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2558188
2558117,FurMark (GL),,AMD Ryzen 5 1600X Six-Core Processor,AMD Radeon RX 580 2048SP,3351,55,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2558117
