score_id,benchmark_type,submitted_date,cpu,gpu,score,fps,resolution,duration_ms,os,driver,url
2585938,FurMark (GL),,Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz,AMD Radeon RX 580 2048SP,2760,45,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2585938
2585628,FurMark (GL),,AMD FX(tm)-8350 Eight-Core Processor,Radeon RX 580 Series,3798,63,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2585628
2585478,FurMark (GL),,AMD Ryzen 7 8700F 8-Core Processor,Radeon RX 580 Series,3648,60,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2585478
2585283,FurMark (GL),,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,Radeon RX 580 Series,3716,61,1920x1080,60000,Windows 11 build 26100,,https://gpumagick.com/scores/2585283
2585258,FurMark (GL),,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,Radeon RX 580 Series,4151,69,1920x1080,60000,Windows 11 build 26100,,https://gpumagick.com/scores/2585258
2585158,FurMark (GL),,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,Radeon RX 580 Series,3972,66,1920x1080,60000,Windows 11 build 26100,,https://gpumagick.com/scores/2585158
2585053,FurMark (GL),,AMD Ryzen 5 3600 6-Core Processor,AMD Radeon RX 580 2048SP,2394,39,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2585053
2584258,FurMark (GL),,Intel(R) Xeon(R) CPU E5-2690 v3 @ 2.60GHz,AMD Radeon RX 580 2048SP,3384,56,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2584258
2584023,FurMark (GL),,AMD Ryzen 7 3700X 8-Core Processor,Radeon RX 580 Series,2662,44,2560x1440,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2584023
2583903,FurMark (GL),,Intel(R) Xeon(R) CPU E5-2670 v3 @ 2.30GHz,Radeon RX 580 Series,4039,67,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2583903
2583848,FurMark (GL),,Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,Radeon RX 580 Series,3896,64,1920x1080,60000,Windows 11 build 22621,,https://gpumagick.com/scores/2583848
2583338,FurMark (GL),,AMD Ryzen 5 2600X Six-Core Processor,Radeon RX 580 Series,3746,62,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2583338
2583258,FurMark (GL),,AMD Ryzen 7 1700X Eight-Core Processor,Radeon RX 580 Series,3650,60,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2583258
2583238,FurMark (GL),,AMD Ryzen 5 3400G with Radeon Vega Graphics,Radeon RX 580 Series,4314,71,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2583238
